2019-03-02 01:40:45,580 [I] Iter idx: 50, Qsize: 49	(at main.py:59) 
2019-03-02 01:40:45,580 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:45,745 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:45,746 [I] Iter idx: 51, Qsize: 48	(at main.py:59) 
2019-03-02 01:40:45,746 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:45,918 [I] Response: [True, True, True, True, False, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:45,919 [I] Iter idx: 52, Qsize: 47	(at main.py:59) 
2019-03-02 01:40:45,919 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:46,092 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:46,093 [I] Iter idx: 53, Qsize: 46	(at main.py:59) 
2019-03-02 01:40:46,093 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:46,246 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:46,247 [I] Iter idx: 54, Qsize: 45	(at main.py:59) 
2019-03-02 01:40:46,247 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:46,404 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:46,404 [I] Iter idx: 55, Qsize: 44	(at main.py:59) 
2019-03-02 01:40:46,405 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]	(at main.py:61) 
