2019-02-12 22:37:03,594 [D] └:F:n:WD_2:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:03,611 [D] ┌:F:n:WD_3:mbe.c:47	(at logger.py:129) 
2019-02-12 22:37:03,611 [D] |:F:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:03,611 [D] └:F:n:WD_3:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:03,630 [D] -:F:n:WD_1:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:03,648 [D] ┌:F:n:WD_2:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:03,648 [D] └:F:n:WD_2:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:03,665 [D] ┌:F:n:WD_3:mbe.c:46	(at logger.py:129) 
2019-02-12 22:37:03,665 [D] |:F:n:WD_3:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:03,665 [D] └:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:04,711 [D] -:C:n:WD_1:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:04,727 [D] ┌:F:n:WD_2:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:04,727 [D] └:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:04,744 [D] ┌:F:n:WD_3:mbe.c:45	(at logger.py:129) 
2019-02-12 22:37:04,744 [D] |:F:n:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:04,744 [D] └:F:n:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:37:04,761 [D] -:F:n:WD_1:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:04,780 [D] ┌:F:n:WD_2:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:04,780 [D] └:F:n:WD_2:mbe.c:43	(at logger.py:129) 
2019-02-12 22:37:04,826 [D] ┌:C:c:WD_3:mbe.c:44	(at logger.py:129) 
2019-02-12 22:37:04,827 [D] |:C:c:WD_3:mbe.c:43	(at logger.py:129) 
2019-02-12 22:37:04,827 [D] └:C:c:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:04,866 [D] -:P:c:WD_1:mbe.c:43	(at logger.py:129) 
2019-02-12 22:37:04,883 [D] -:F:n:WD_1:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:04,900 [D] ┌:F:n:WD_2:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:04,900 [D] └:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:04,962 [D] ┌:C:n:WD_3:mbe.c:42	(at logger.py:129) 
2019-02-12 22:37:04,962 [D] |:C:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:04,962 [D] └:C:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:05,020 [D] -:C:n:WD_1:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:05,039 [D] ┌:F:n:WD_2:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:05,039 [D] └:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:05,057 [D] ┌:F:n:WD_3:mbe.c:41	(at logger.py:129) 
2019-02-12 22:37:05,057 [D] |:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:05,057 [D] └:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:05,075 [D] -:F:n:WD_1:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:05,092 [D] ┌:F:n:WD_2:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:05,092 [D] └:F:n:WD_2:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:05,110 [D] ┌:F:n:WD_3:mbe.c:40	(at logger.py:129) 
2019-02-12 22:37:05,110 [D] |:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:05,111 [D] └:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:06,157 [D] -:C:n:WD_1:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:06,172 [D] ┌:F:n:WD_2:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:06,172 [D] └:F:n:WD_2:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:06,188 [D] ┌:F:n:WD_3:mbe.c:39	(at logger.py:129) 
2019-02-12 22:37:06,189 [D] |:F:n:WD_3:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:06,189 [D] └:F:n:WD_3:mbe.c:37	(at logger.py:129) 
2019-02-12 22:37:06,206 [D] -:F:n:WD_1:mbe.c:38	(at logger.py:129) 
2019-02-12 22:37:06,222 [D] ┌:F:n:WD_2:mbe.c:38	(at logger.py:129) 
