2019-01-23 05:35:17,975 [I] Curr factor: [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]	(at main.py:53) 
2019-01-23 05:35:18,305 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:18,305 [I] Iter idx: 62, Qsize: 37	(at main.py:51) 
2019-01-23 05:35:18,305 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]	(at main.py:53) 
2019-01-23 05:35:18,409 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:18,409 [I] Iter idx: 63, Qsize: 36	(at main.py:51) 
2019-01-23 05:35:18,409 [I] Curr factor: [0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:18,513 [I] Response: [True, True, False, False, False, False, False, False, True, True, True, False, False, False, False, True]	(at main.py:56) 
2019-01-23 05:35:18,513 [I] Iter idx: 64, Qsize: 35	(at main.py:51) 
2019-01-23 05:35:18,513 [I] Curr factor: [0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:18,843 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:18,844 [I] Iter idx: 65, Qsize: 34	(at main.py:51) 
2019-01-23 05:35:18,844 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	(at main.py:53) 
2019-01-23 05:35:19,197 [I] Response: [True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]	(at main.py:56) 
2019-01-23 05:35:19,197 [I] Iter idx: 66, Qsize: 33	(at main.py:51) 
