2019-03-02 02:02:46,462 [D] -:F:n:WD_1:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:46,476 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,476 [D] ┌:F:n:WD_2:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:46,476 [D] └:F:n:WD_2:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:46,523 [D] ┌:C:n:WD_3:wc.c:31	(at logger.py:129) 
2019-03-02 02:02:46,523 [D] |:C:n:WD_3:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:46,523 [D] └:C:n:WD_3:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:46,568 [D] -:C:n:WD_1:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:46,580 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,580 [D] ┌:F:n:WD_2:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:46,581 [D] └:F:n:WD_2:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:46,595 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,595 [D] ┌:F:n:WD_3:wc.c:30	(at logger.py:129) 
2019-03-02 02:02:46,595 [D] |:F:n:WD_3:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:46,595 [D] └:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:46,609 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,609 [D] -:F:n:WD_1:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:46,623 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,623 [D] ┌:F:n:WD_2:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:46,623 [D] └:F:n:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:46,636 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,636 [D] ┌:F:n:WD_3:wc.c:29	(at logger.py:129) 
2019-03-02 02:02:46,636 [D] |:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:46,636 [D] └:F:n:WD_3:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:46,651 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,652 [D] -:F:n:WD_1:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:46,667 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,668 [D] ┌:F:n:WD_2:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:46,668 [D] └:F:n:WD_2:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:46,682 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,682 [D] ┌:F:n:WD_3:wc.c:28	(at logger.py:129) 
2019-03-02 02:02:46,682 [D] |:F:n:WD_3:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:46,682 [D] └:F:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:46,730 [D] -:C:n:WD_1:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:46,769 [D] ┌:C:c:WD_2:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:46,769 [D] └:C:c:WD_2:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:46,814 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,814 [D] ┌:C:n:WD_3:wc.c:27	(at logger.py:129) 
2019-03-02 02:02:46,814 [D] |:C:n:WD_3:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:46,814 [D] └:C:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:46,853 [D] -:P:c:WD_1:wc.c:26	(at logger.py:129) 
2019-03-02 02:02:46,904 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,904 [D] -:C:n:WD_1:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:46,954 [D] subprocess cmd: ['source execute.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,955 [D] ┌:C:n:WD_2:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:46,955 [D] └:C:n:WD_2:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:46,969 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:46,969 [D] ┌:F:n:WD_3:wc.c:25	(at logger.py:129) 
2019-03-02 02:02:46,969 [D] |:F:n:WD_3:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:46,969 [D] └:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:47,018 [D] -:C:n:WD_1:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:47,031 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,032 [D] ┌:F:n:WD_2:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:47,032 [D] └:F:n:WD_2:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:47,047 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,048 [D] ┌:F:n:WD_3:wc.c:24	(at logger.py:129) 
2019-03-02 02:02:47,048 [D] |:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:47,048 [D] └:F:n:WD_3:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:47,064 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,064 [D] -:F:n:WD_1:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:47,079 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,079 [D] ┌:F:n:WD_2:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:47,079 [D] └:F:n:WD_2:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:47,095 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,095 [D] ┌:F:n:WD_3:wc.c:23	(at logger.py:129) 
2019-03-02 02:02:47,095 [D] |:F:n:WD_3:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:47,095 [D] └:F:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:47,143 [D] -:C:n:WD_1:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:47,156 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,157 [D] ┌:F:n:WD_2:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:47,157 [D] └:F:n:WD_2:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:47,170 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,170 [D] ┌:F:n:WD_3:wc.c:22	(at logger.py:129) 
2019-03-02 02:02:47,170 [D] |:F:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:47,170 [D] └:F:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:47,183 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,183 [D] -:F:n:WD_1:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:47,197 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,197 [D] ┌:F:n:WD_2:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:47,198 [D] └:F:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:47,252 [D] ┌:C:n:WD_3:wc.c:21	(at logger.py:129) 
2019-03-02 02:02:47,252 [D] |:C:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:47,252 [D] └:C:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:47,267 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,267 [D] -:F:n:WD_1:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:47,281 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,282 [D] ┌:F:n:WD_2:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:47,282 [D] └:F:n:WD_2:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:47,296 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,296 [D] ┌:F:n:WD_3:wc.c:20	(at logger.py:129) 
2019-03-02 02:02:47,296 [D] |:F:n:WD_3:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:47,296 [D] └:F:n:WD_3:wc.c:18	(at logger.py:129) 
2019-03-02 02:02:47,311 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
2019-03-02 02:02:47,311 [D] -:F:n:WD_1:wc.c:19	(at logger.py:129) 
2019-03-02 02:02:47,324 [D] subprocess cmd: ['source compile.sh /home/bohrok/Documents/DM/output/orbs/wc/13/work'], stdout: b''	(at ex_script.py:45) 
