2019-03-02 01:39:54,214 [I] Initial factor queue size: 185	(at doe_manager.py:29) 
2019-03-02 01:40:02,927 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:03,113 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:03,113 [I] Iter idx: 47, Qsize: 137	(at main.py:59) 
2019-03-02 01:40:03,113 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:03,261 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:03,261 [I] Iter idx: 48, Qsize: 136	(at main.py:59) 
2019-03-02 01:40:03,261 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:03,579 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:03,580 [I] Iter idx: 49, Qsize: 135	(at main.py:59) 
2019-03-02 01:40:03,580 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:03,772 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:03,772 [I] Iter idx: 50, Qsize: 134	(at main.py:59) 
2019-03-02 01:40:03,773 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:04,085 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 01:40:04,086 [I] Iter idx: 51, Qsize: 133	(at main.py:59) 
2019-03-02 01:40:04,086 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:04,355 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:04,355 [I] Iter idx: 52, Qsize: 132	(at main.py:59) 
2019-03-02 01:40:04,355 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:04,605 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:04,606 [I] Iter idx: 53, Qsize: 131	(at main.py:59) 
2019-03-02 01:40:04,606 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:04,774 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:04,775 [I] Iter idx: 54, Qsize: 130	(at main.py:59) 
2019-03-02 01:40:04,775 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:04,910 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:04,911 [I] Iter idx: 55, Qsize: 129	(at main.py:59) 
2019-03-02 01:40:04,911 [I] Curr factor: [1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:05,073 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:05,074 [I] Iter idx: 56, Qsize: 128	(at main.py:59) 
2019-03-02 01:40:05,074 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 01:40:05,227 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:05,227 [I] Iter idx: 57, Qsize: 127	(at main.py:59) 
2019-03-02 01:40:05,227 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:05,378 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, False, False, False, False, False, True, True]	(at main.py:64) 
2019-03-02 01:40:05,378 [I] Iter idx: 58, Qsize: 126	(at main.py:59) 
2019-03-02 01:40:05,378 [I] Curr factor: [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:05,533 [I] Response: [True, True, True, True, False, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:05,534 [I] Iter idx: 59, Qsize: 125	(at main.py:59) 
2019-03-02 01:40:05,534 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:05,684 [I] Response: [True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:05,684 [I] Iter idx: 60, Qsize: 124	(at main.py:59) 
2019-03-02 01:40:05,685 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:05,834 [I] Response: [True, True, True, False, True, True, True, True, True, True, True, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:05,835 [I] Iter idx: 61, Qsize: 123	(at main.py:59) 
2019-03-02 01:40:05,835 [I] Curr factor: [0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 01:40:05,978 [I] Response: [True, True, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, True, True]	(at main.py:64) 
2019-03-02 01:40:05,979 [I] Iter idx: 62, Qsize: 122	(at main.py:59) 
2019-03-02 01:40:05,979 [I] Curr factor: [0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 01:40:06,308 [I] Response: [True, True, True, True, True, True, False, False, True, False, False, True, False, False, False, False, True, True, True]	(at main.py:64) 
2019-03-02 01:40:06,309 [I] Iter idx: 63, Qsize: 121	(at main.py:59) 
