2019-03-02 02:26:56,744 [I] Response: [True, False, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:56,745 [I] Iter idx: 55, Qsize: 44	(at main.py:59) 
2019-03-02 02:26:56,745 [I] Curr factor: [1, 0, 1, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:57,362 [I] Response: [True, True, False, True, True, False, False, True, False, False, False, True, False, False, False]	(at main.py:64) 
2019-03-02 02:26:57,362 [I] Iter idx: 56, Qsize: 43	(at main.py:59) 
2019-03-02 02:26:57,362 [I] Curr factor: [1, 1, 0, 0, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:26:57,947 [I] Response: [True, True, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:57,948 [I] Iter idx: 57, Qsize: 42	(at main.py:59) 
2019-03-02 02:26:57,948 [I] Curr factor: [0, 0, 0, 1, 0, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:26:58,843 [I] Response: [True, False, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:58,844 [I] Iter idx: 58, Qsize: 41	(at main.py:59) 
2019-03-02 02:26:58,844 [I] Curr factor: [0, 0, 1, 0, 1, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:26:59,632 [I] Response: [True, False, True, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:26:59,632 [I] Iter idx: 59, Qsize: 40	(at main.py:59) 
2019-03-02 02:26:59,632 [I] Curr factor: [0, 0, 0, 1, 0, 1, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:26:59,738 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:59,738 [I] Iter idx: 60, Qsize: 39	(at main.py:59) 
2019-03-02 02:26:59,738 [I] Curr factor: [0, 1, 0, 1, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:26:59,837 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:26:59,837 [I] Iter idx: 61, Qsize: 38	(at main.py:59) 
2019-03-02 02:26:59,837 [I] Curr factor: [1, 1, 1, 0, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:27:00,211 [I] Response: [True, True, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:00,211 [I] Iter idx: 62, Qsize: 37	(at main.py:59) 
2019-03-02 02:27:00,211 [I] Curr factor: [0, 0, 1, 1, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:27:00,317 [I] Response: [True, True, True, True, True, True, True, False, True, True, True, False, True, True, True]	(at main.py:64) 
2019-03-02 02:27:00,317 [I] Iter idx: 63, Qsize: 36	(at main.py:59) 
2019-03-02 02:27:00,317 [I] Curr factor: [0, 1, 0, 1, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:27:00,421 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:00,422 [I] Iter idx: 64, Qsize: 35	(at main.py:59) 
2019-03-02 02:27:00,422 [I] Curr factor: [1, 0, 0, 0, 1, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:27:01,244 [I] Response: [True, False, False, True, True, False, False, True, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:01,244 [I] Iter idx: 65, Qsize: 34	(at main.py:59) 
2019-03-02 02:27:01,244 [I] Curr factor: [0, 1, 0, 1, 0, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:27:01,343 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:01,343 [I] Iter idx: 66, Qsize: 33	(at main.py:59) 
2019-03-02 02:27:01,343 [I] Curr factor: [0, 1, 1, 0, 0, 1, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:27:01,467 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:01,467 [I] Iter idx: 67, Qsize: 32	(at main.py:59) 
2019-03-02 02:27:01,467 [I] Curr factor: [1, 1, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:27:01,839 [I] Response: [True, True, False, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:01,839 [I] Iter idx: 68, Qsize: 31	(at main.py:59) 
2019-03-02 02:27:01,840 [I] Curr factor: [0, 0, 0, 0, 1, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:27:02,674 [I] Response: [True, False, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:02,674 [I] Iter idx: 69, Qsize: 30	(at main.py:59) 
2019-03-02 02:27:02,674 [I] Curr factor: [0, 1, 0, 0, 0, 1, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:27:02,772 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:02,772 [I] Iter idx: 70, Qsize: 29	(at main.py:59) 
2019-03-02 02:27:02,773 [I] Curr factor: [0, 1, 0, 1, 0, 0, 0, 0, 0]	(at main.py:61) 
2019-03-02 02:27:02,874 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:02,874 [I] Iter idx: 71, Qsize: 28	(at main.py:59) 
2019-03-02 02:27:02,875 [I] Curr factor: [0, 1, 0, 0, 1, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:27:03,690 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:03,690 [I] Iter idx: 72, Qsize: 27	(at main.py:59) 
2019-03-02 02:27:03,690 [I] Curr factor: [0, 1, 0, 0, 1, 0, 1, 0, 0]	(at main.py:61) 
2019-03-02 02:27:04,461 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:04,461 [I] Iter idx: 73, Qsize: 26	(at main.py:59) 
2019-03-02 02:27:04,461 [I] Curr factor: [0, 0, 0, 1, 0, 0, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:27:04,560 [I] Response: [True, True, True, True, True, True, False, True, False, True, True, True, True, False, True]	(at main.py:64) 
2019-03-02 02:27:04,560 [I] Iter idx: 74, Qsize: 25	(at main.py:59) 
2019-03-02 02:27:04,560 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:27:05,115 [I] Response: [True, False, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:05,116 [I] Iter idx: 75, Qsize: 24	(at main.py:59) 
2019-03-02 02:27:05,116 [I] Curr factor: [0, 0, 0, 1, 0, 1, 0, 0, 1]	(at main.py:61) 
2019-03-02 02:27:05,216 [I] Response: [True, True, True, True, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:05,216 [I] Iter idx: 76, Qsize: 23	(at main.py:59) 
2019-03-02 02:27:05,216 [I] Curr factor: [0, 0, 0, 1, 0, 0, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:27:05,784 [I] Response: [True, False, True, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:05,785 [I] Iter idx: 77, Qsize: 22	(at main.py:59) 
2019-03-02 02:27:05,785 [I] Curr factor: [0, 0, 0, 0, 0, 0, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:27:06,517 [I] Response: [True, False, True, True, True, False, False, False, True, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:06,517 [I] Iter idx: 78, Qsize: 21	(at main.py:59) 
2019-03-02 02:27:06,517 [I] Curr factor: [0, 0, 1, 0, 0, 0, 1, 0, 1]	(at main.py:61) 
2019-03-02 02:27:07,248 [I] Response: [True, False, True, True, True, False, False, True, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:07,248 [I] Iter idx: 79, Qsize: 20	(at main.py:59) 
2019-03-02 02:27:07,249 [I] Curr factor: [0, 1, 0, 0, 0, 0, 1, 1, 0]	(at main.py:61) 
2019-03-02 02:27:07,917 [I] Response: [True, False, True, False, True, False, False, False, False, False, False, False, False, False, False]	(at main.py:64) 
2019-03-02 02:27:07,918 [I] Iter idx: 80, Qsize: 19	(at main.py:59) 
2019-03-02 02:27:07,918 [I] Curr factor: [0, 1, 0, 0, 0, 0, 0, 1, 0]	(at main.py:61) 
2019-03-02 02:27:08,188 [I] Response: [True, True, True, False, True, True, False, False, False, True, True, False, True, False, True]	(at main.py:64) 
2019-03-02 02:27:08,189 [I] Iter idx: 81, Qsize: 18	(at main.py:59) 
